model,horizon,step,tokens,cosine,constant_ema25,inverse_sqrt_ema25,wsd_last_iterate,wsd_old_overwritten_alias,wsd_metric_correction,delta_constant_ema25,delta_inverse_sqrt_ema25,delta_wsd_last_iterate
150M,1x,12500,3276800000,3.0185389275168433,3.0259251594543457,3.022491931915283,3.025240659713745,3.022736802431464,0.0025038572822810856,0.00738623193750243,0.00395300439843993,0.006701732196901844
150M,2x,25000,6553600000,2.9357447416146347,2.934178113937378,2.9312150478363037,2.9338433742523193,2.9316012824832502,0.002242091769069088,-0.0015666276772567933,-0.004529693778331012,-0.001901367362315387
150M,4x,50000,13107200000,2.87184907665289,2.8679862022399902,2.8652920722961426,2.8673367500305176,2.8651573652457483,0.0021793847847693115,-0.003862874412899675,-0.006557004356747331,-0.004512326622372331
150M,8x,100000,26214400000,2.8223579213471424,2.817782402038574,2.8156898021698,2.8167715072631836,2.814617416383622,0.002154090879561643,-0.004575519308568143,-0.0066681191773425574,-0.005586414083958768
150M,16x,200000,52428800000,2.7790306217930247,2.778548240661621,2.778038263320923,2.7772438526153564,2.7750837569222777,0.002160095693078734,-0.0004823811314036419,-0.000992358472101884,-0.0017867691776682904
150M,32x,400000,104857600000,2.7447912480358188,2.7476484775543213,2.748852491378784,2.7460687160491943,2.743966566955208,0.0021021490939863163,0.0028572295185025354,0.004061243342965426,0.0012774680133755822
300M,1x,12500,6553600000,2.8599739987956836,2.865124225616455,2.867943525314331,2.8621041774749756,2.859674214858558,0.0024299626164174803,0.005150226820771486,0.007969526518647463,0.002130178679291994
300M,2x,25000,13107200000,2.7791158977098194,2.7787294387817383,2.7781529426574707,2.776712417602539,2.7745137671076647,0.0021986504948743324,-0.0003864589280810904,-0.0009629550523486685,-0.002403480107280309
300M,4x,50000,26214400000,2.7175979311173326,2.7161505222320557,2.714158296585083,2.714294672012329,2.7121136782679574,0.002180993744371751,-0.0014474088852769462,-0.0034396345322496025,-0.0033032591050035087
300M,8x,100000,52428800000,2.6643758085773244,2.6685123443603516,2.6658408641815186,2.6672861576080322,2.6651239104730418,0.0021622471349904693,0.004136535783027195,0.0014650556041941876,0.0029103490307078594
300M,16x,200000,104857600000,2.6233539521928515,2.631568193435669,2.628498077392578,2.629612445831299,2.6274517389654095,0.002160706865889317,0.008214241242817444,0.0051441251997266235,0.006258493638447327
