a,b,method,samples,excess_risk
1.1,1.1,constant+average,100,7.870544128111306e-06
1.1,1.1,constant+average,106,7.869260715960604e-06
1.1,1.1,constant+average,113,7.867765147986577e-06
1.1,1.1,constant+average,121,7.866058224466263e-06
1.1,1.1,constant+average,129,7.864353744863642e-06
1.1,1.1,constant+average,137,7.862651702978936e-06
1.1,1.1,constant+average,146,7.86073981227676e-06
1.1,1.1,constant+average,155,7.858830991047146e-06
1.1,1.1,constant+average,165,7.856713668833537e-06
1.1,1.1,constant+average,176,7.854388966998176e-06
1.1,1.1,constant+average,187,7.852068811415234e-06
1.1,1.1,constant+average,199,7.84954290133412e-06
1.1,1.1,constant+average,212,7.846812565130095e-06
1.1,1.1,constant+average,226,7.843879233831038e-06
1.1,1.1,constant+average,241,7.84074443927731e-06
1.1,1.1,constant+average,256,7.837617950267079e-06
1.1,1.1,constant+average,273,7.83408459452075e-06
1.1,1.1,constant+average,291,7.830354922072405e-06
1.1,1.1,constant+average,310,7.826430847694374e-06
1.1,1.1,constant+average,330,7.822314376018913e-06
1.1,1.1,constant+average,351,7.818007599020151e-06
1.1,1.1,constant+average,374,7.813308790167121e-06
1.1,1.1,constant+average,398,7.808425781280722e-06
1.1,1.1,constant+average,424,7.803158867547216e-06
1.1,1.1,constant+average,451,7.797714541634307e-06
1.1,1.1,constant+average,480,7.791895283507525e-06
1.1,1.1,constant+average,511,7.785706923066647e-06
1.1,1.1,constant+average,545,7.77895766694652e-06
1.1,1.1,constant+average,580,7.772051045154754e-06
1.1,1.1,constant+average,617,7.764794727980467e-06
1.1,1.1,constant+average,657,7.757001550371602e-06
1.1,1.1,constant+average,700,7.748682934091763e-06
1.1,1.1,constant+average,745,7.740042206011005e-06
1.1,1.1,constant+average,794,7.730707902991806e-06
1.1,1.1,constant+average,845,7.721074068597302e-06
1.1,1.1,constant+average,900,7.710776534852658e-06
1.1,1.1,constant+average,958,7.700019191717786e-06
1.1,1.1,constant+average,1000,7.692293821279354e-06
1.1,1.1,constant+average,1020,7.688633902928555e-06
